product_id,product_name,client_id,review_date,star_ratings,feedback_comments,review_source,service_feedback
CM1001,Cement,1011,2023-02-20,5,Excellent quality very durable.,Online store,Prompt delivery excellent service.
CM1003,Gravel,1011,2023-03-12,4,Good gravel but a few pieces were larger than expected.,In-person feedback,Helpful staff smooth transaction.
CM1007,Concrete Mix,1011,2023-05-02,3,Average mix needed more water than indicated.,Online store,Fast shipping but packaging could be better.
CM1010,Drywall Sheets,1011,2023-06-01,4,Good quality but heavy to handle.,In-person feedback,Good service staff was helpful.
CM1015,Conduits,1011,2023-06-20,5,Great conduits easy to install.,Online store,Excellent customer support quick delivery.
CM1020,Vinyl Flooring,1011,2023-07-18,4,Looks great and easy to install.,In-person feedback,Good service slightly delayed delivery.
CM1002,Sand,1012,2023-08-15,3,Clean sand but slightly overpriced.,Online store,Decent service on-time delivery.
CM1005,Plywood,1012,2023-05-10,5,High-quality plywood very durable.,In-person feedback,Excellent service very helpful staff.
CM1013,PVC Pipe Fittings,1012,2023-02-20,4,Good fittings but some pieces were missing.,Online store,Fast shipping but incomplete order.
CM1023,Paint,1012,2023-02-20,5,Great coverage and vibrant color.,In-person feedback,Very helpful staff excellent service.
CM1006,Bricks,1013,2023-02-21,4,Good bricks but a few were chipped.,Online store,Prompt delivery good packaging.
CM1018,Wood Beams,1013,2023-02-22,5,Strong and sturdy beams.,In-person feedback,Excellent service very knowledgeable staff.
CM1025,Caulking,1013,2023-02-12,3,Average quality needed to reapply.,Online store,Decent service delayed response to inquiry.
CM1008,Mortar Mix,1014,2023-02-15,5,Excellent mortar mix very strong.,In-person feedback,Great service very helpful staff.
CM1014,Electrical Wiring,1014,2023-12-22,4,Good wiring but the insulation is a bit thin.,Online store,Fast shipping good customer service.
CM1019,Wood Stain,1014,2023-11-20,5,Excellent stain provides a beautiful finish.,In-person feedback,Very helpful staff smooth transaction.
CM1028,Deck Screws,1014,2023-09-20,3,Some screws stripped easily.,Online store,Decent service packaging could be better.
CM1009,Insulation Foam,1015,2023-10-20,4,Good insulation but a bit difficult to apply.,In-person feedback,Good service slightly delayed response.
CM1031,Concrete Blocks,1015,2023-07-20,5,High-quality blocks very durable.,Online store,Excellent service prompt delivery.
CM1011,Joint Compound,1016,2023-02-20,4,Good compound smooth finish.,In-person feedback,Good service friendly staff.
CM1017,Roofing Underlayment,1016,2023-02-20,5,Excellent underlayment provides great protection.,Online store,Fast shipping excellent customer support.
CM1004,Rebar,1017,2023-12-22,3,Some pieces were slightly rusted.,In-person feedback,Decent service but product quality could improve.
CM1022,Tile Adhesive,1017,2023-02-21,4,Strong adhesive but difficult to spread evenly.,Online store,Good service fast delivery.
CM1026,Caulking Gun,1017,2023-02-12,2,Poor quality broke after a few uses.,In-person feedback,Decent service staff offered a replacement.
CM1033,Welding Rods,1017,2023-02-15,5,Excellent rods perfect welds every time.,Online store,Great service very responsive customer support.
CM1021,Ceramic Tiles,1018,2023-04-10,5,Beautiful tiles easy to install.,In-person feedback,Excellent service very helpful staff.
CM1035,Window Frames,1018,2023-03-18,4,Sturdy frames easy to install.,Online store,Good service but delivery was slightly delayed.
CM1040,Safety Glasses,1018,2023-06-17,5,Comfortable and clear but tend to fog up occasionally.,In-person feedback,Good service staff was helpful and knowledgeable.
CM1045,Power Drill,1018,2023-07-13,5,Powerful and reliable perfect for heavy-duty tasks.,Online store,Great service very responsive customer support.
CM1048,Saw Blades,1018,2023-01-23,4,Good blades but wore out faster than expected.,In-person feedback,Good service staff was friendly and helpful.
CM1030,Fence Posts,1019,2023-01-21,5,Strong and sturdy perfect for our fencing project.,Online store,Very helpful staff quick checkout process.
CM1037,Sealant,1019,2023-02-18,2,Did not adhere well had to reapply multiple times.,In-person feedback,Poor service customer support was not helpful.
CM1043,Ear Protection,1019,2023-06-19,5,Excellent protection very comfortable to wear for long periods.,Online store,Excellent service very satisfied with the experience.
CM1032,Angle Iron,1020,2023-04-22,4,Good quality iron but a bit heavy to handle.,In-person feedback,Good service but the delivery was a bit slow.
CM1041,Hard Hats,1020,2023-07-18,5,Very durable and comfortable.,Online store,Excellent service quick delivery and good packaging.
CM1047,Circular Saw,1020,2023-07-17,5,Excellent saw very precise and easy to handle.,Online store,Great service fast shipping and good customer support.
CM1049,Laser Level,1020,2023-08-11,5,Highly accurate and easy to use.,Online store,Excellent service very satisfied with the purchase experience.
