client_id,client_name,purchase_date,product_id,product_name,quantity_purchased,client_status,product_price,total_purchase_amount
1011,ADAC Luftrettung,2023-02-10,CM1001,H135,1,Active,8000000,8000000
1011,ADAC Luftrettung,2023-05-03,CM1003,H145,2,Active,10000000,20000000
1011,ADAC Luftrettung,2023-12-04,CM1007,H135,3,Active,8000000,24000000
1012,DRF Luftrettung,2023-03-08,CM1002,H135,1,Active,8000000,8000000
1012,DRF Luftrettung,2023-05-09,CM1005,H145,1,Active,10000000,10000000
1012,DRF Luftrettung,2023-11-10,CM1013,H135,1,Active,8000000,8000000
1012,DRF Luftrettung,2023-09-11,CM1023,H145,1,Active,10000000,10000000
1014,Bundespolizei,2023-12-03,CM1008,H135,2,Active,8000000,16000000
1014,Bundespolizei,2023-11-04,CM1014,H135,1,Active,8000000,8000000
1014,Bundespolizei,2023-12-07,CM1009,H145,1,Active,10000000,10000000
1014,Bundespolizei,2023-03-08,CM1031,H145,1,Active,10000000,10000000
1014,Bundespolizei,2023-12-09,CM1011,H215,1,Active,18000000,18000000
1014,Bundespolizei,2023-03-10,CM1017,H225,44,Active,20000000,880000000
1017,Bundeswehr,2023-10-11,CM1004,Rebar,62,Active,8000000,496000000
1020,Rega,2023-08-11,CM1032,H135,2,Active,8000000,16000000
1020,Rega,2023-12-12,CM1041,H145,1,Active,10000000,10000000
1020,Rega,2023-11-01,CM1047,H125,2,Active,3000000,6000000
1022,Norwegian Air Ambulance,2023-04-06,CM1016,H135,2,Active,8000000,16000000
1022,Norwegian Air Ambulance,2023-01-07,CM1029,H145,1,Active,10000000,10000000
1022,Norwegian Air Ambulance,2023-10-08,CM1034,H125,2,Active,3000000,6000000
